,parameters,aic
0,"(6, 6, 1, 1)",5235.735746878293
1,"(3, 3, 1, 1)",5271.548136175598
2,"(5, 6, 1, 1)",5272.2796909101435
3,"(4, 5, 1, 1)",5275.430967407643
4,"(6, 3, 1, 1)",5277.695739984225
5,"(3, 4, 1, 1)",5279.200469707198
6,"(2, 6, 1, 0)",5280.578756311327
7,"(2, 5, 1, 1)",5281.989458412879
8,"(3, 6, 1, 0)",5282.317179541745
9,"(4, 3, 1, 1)",5283.321126456416
10,"(2, 3, 1, 1)",5283.74167273308
11,"(4, 6, 0, 1)",5283.82702141114
12,"(4, 2, 1, 1)",5284.3847025058285
13,"(2, 4, 1, 1)",5284.485230023889
14,"(6, 2, 1, 1)",5284.89968589798
15,"(5, 2, 1, 1)",5286.829319498533
16,"(3, 5, 1, 1)",5286.868482271167
17,"(6, 4, 1, 1)",5287.3801855315705
18,"(4, 4, 1, 1)",5296.332872372959
19,"(3, 6, 0, 1)",5297.720246597335
20,"(6, 6, 1, 0)",5300.290776932308
21,"(4, 6, 1, 0)",5300.954539693038
22,"(2, 2, 1, 1)",5304.212786145099
23,"(6, 6, 0, 1)",5305.545278119993
24,"(6, 2, 0, 1)",5308.982262688278
25,"(5, 6, 0, 1)",5310.406588167541
26,"(3, 3, 0, 1)",5312.515122357345
27,"(5, 3, 1, 1)",5313.5926126415925
28,"(2, 6, 0, 1)",5314.167978519034
29,"(6, 3, 0, 1)",5317.642351181166
30,"(4, 3, 0, 1)",5320.909650207079
31,"(5, 4, 0, 1)",5334.270175148423
32,"(3, 5, 0, 1)",5338.6673630455325
33,"(4, 6, 1, 1)",5340.726852808245
34,"(2, 5, 0, 1)",5342.315129686586
35,"(4, 5, 0, 1)",5343.319836313452
36,"(4, 4, 0, 1)",5344.432974072325
37,"(3, 6, 1, 1)",5346.194292893157
38,"(3, 4, 0, 1)",5350.266137814936
39,"(5, 2, 0, 1)",5351.401489339632
40,"(2, 6, 1, 1)",5355.5358865660455
41,"(4, 2, 0, 1)",5356.319691187035
42,"(3, 2, 0, 1)",5358.930853639909
43,"(2, 3, 0, 1)",5360.302405315693
44,"(2, 4, 0, 1)",5362.100926112298
45,"(2, 6, 0, 0)",5362.92233881044
46,"(3, 6, 0, 0)",5364.894639227375
47,"(3, 2, 1, 1)",5365.7466443998255
48,"(5, 6, 1, 0)",5365.953031718402
49,"(5, 3, 0, 1)",5366.424465755883
50,"(2, 2, 0, 1)",5367.137750678581
51,"(5, 6, 0, 0)",5368.648545339609
52,"(5, 4, 1, 1)",5368.710403743466
53,"(6, 6, 0, 0)",5369.701711214333
54,"(5, 5, 1, 1)",5389.22506199337
55,"(4, 6, 0, 0)",5390.3583903292365
56,"(6, 4, 0, 1)",5403.291023506665
57,"(6, 5, 1, 1)",5408.9454657467795
58,"(3, 5, 1, 0)",5415.967132102274
59,"(5, 5, 0, 1)",5421.6664108506475
60,"(6, 5, 0, 1)",5427.195865543512
61,"(4, 4, 1, 0)",5436.504778778226
62,"(6, 4, 1, 0)",5437.554081283082
63,"(5, 4, 1, 0)",5438.884143783192
64,"(3, 3, 1, 0)",5449.878604960471
65,"(6, 2, 1, 0)",5449.993998687646
66,"(5, 3, 1, 0)",5451.438617336666
67,"(4, 3, 1, 0)",5451.481329534883
68,"(3, 4, 1, 0)",5453.55699018188
69,"(2, 5, 1, 0)",5454.049573713929
70,"(6, 3, 1, 0)",5454.470199234493
71,"(5, 5, 1, 0)",5455.984604569021
72,"(6, 5, 1, 0)",5456.416615398011
73,"(4, 5, 1, 0)",5458.988428574663
74,"(4, 2, 1, 0)",5474.150862360661
75,"(5, 2, 1, 0)",5505.030751279799
76,"(6, 5, 0, 0)",5506.432634288614
77,"(4, 5, 0, 0)",5514.722205182018
78,"(2, 2, 1, 0)",5522.029059887776
79,"(3, 4, 0, 0)",5524.040264796156
80,"(5, 4, 0, 0)",5524.714980697176
81,"(5, 5, 0, 0)",5525.912041410421
82,"(6, 4, 0, 0)",5527.086384230781
83,"(3, 2, 1, 0)",5530.1976627363165
84,"(2, 3, 1, 0)",5530.442991385603
85,"(2, 4, 1, 0)",5532.317105752309
86,"(3, 5, 0, 0)",5533.04000785855
87,"(2, 5, 0, 0)",5539.825349513449
88,"(4, 4, 0, 0)",5544.526543406242
89,"(6, 2, 0, 0)",5582.9613771476725
90,"(2, 4, 0, 0)",5594.399277072265
91,"(3, 3, 0, 0)",5633.400066543924
92,"(6, 3, 0, 0)",5638.931033847128
93,"(4, 2, 0, 0)",5641.713662759964
94,"(5, 3, 0, 0)",5645.4728397498875
95,"(4, 3, 0, 0)",5647.109909182218
96,"(2, 3, 0, 0)",5682.002026795387
97,"(3, 2, 0, 0)",5745.3857968835155
98,"(2, 2, 0, 0)",5747.436251401538
99,"(5, 2, 0, 0)",5747.71731895976
